omega_max_tab,omega_A_phys_tab
20.0,10.0
46.66666666666667,9.785714285714286
73.33333333333334,9.714285714285714
100.0,9.642857142857142
126.66666666666667,9.571428571428571
153.33333333333334,9.571428571428571
180.0,9.571428571428571
206.66666666666669,9.5
233.33333333333334,9.5
260.0,9.5
286.6666666666667,9.428571428571429
313.33333333333337,9.428571428571429
340.0,9.428571428571429
366.6666666666667,9.428571428571429
393.33333333333337,9.428571428571429
420.0,9.428571428571429
446.6666666666667,9.357142857142858
473.33333333333337,9.357142857142858
500.0,9.357142857142858
