reflection_1gamma,reflection_3gamma,reflection_5gamma
0.211459195947023,0.23526021580212364,0.2683798245514938
0.25355617252667473,0.27996010036069807,0.31511616707991186
0.3075310446866816,0.3365357795495858,0.37364543034073794
0.3769855416706942,0.40818789379921494,0.4466283306068962
0.46580518941664606,0.4980789197915495,0.5363097124588716
0.5765645007991803,0.6077171928997305,0.6428799668353669
0.706567661856291,0.7333708712907986,0.7613372956291398
0.841116604061595,0.8604899108419157,0.8773563329947786
0.9487340716346945,0.9603600966559543,0.9659381929099926
0.9907820569774144,0.999002198496689,0.9996285274757507
0.9487340716346946,0.9603600966559552,0.9659381929099906
0.8411166040615917,0.8604899108419174,0.8773563329947776
0.7065676618562923,0.7333708712907958,0.7613372956291412
0.5765645007991824,0.6077171928997305,0.6428799668353602
0.4658051894166433,0.49807891979154983,0.5363097124588682
0.37698554167069676,0.40818789379921583,0.44662833060689155
0.30753104468668235,0.33653577954958647,0.37364543034074393
0.2535561725266776,0.2799601003606973,0.3151161670799113
0.21145919594702334,0.23526021580212442,0.26837982455149345
