omega_0_tab,reflection_2omegaA,reflection_3omegaA,reflection_4omegaA
9.0,0.211459195947023,0.25147733480252155,0.2805772185657369
9.11111111111111,0.25355617252667473,0.3052876086059948,0.34297275033551344
9.222222222222221,0.3075310446866816,0.37466196967173915,0.42332897933232494
9.333333333333334,0.3769855416706942,0.4635793603261912,0.5252334508375319
9.444444444444445,0.46580518941664606,0.5747399025214095,0.6490121814738581
9.555555555555555,0.5765645007991803,0.705529571894201,0.785803218481244
9.666666666666666,0.706567661856291,0.8410769820377755,0.9104806535378198
9.777777777777779,0.841116604061595,0.9492568215501145,0.98369409357937
9.88888888888889,0.9487340716346945,0.9906271806937745,0.9744180885060358
10.0,0.9907820569774144,0.9466706511096125,0.8868776870836098
10.11111111111111,0.9487340716346946,0.8369460490656945,0.7565302377681928
10.222222222222221,0.8411166040615917,0.7010505100863882,0.620906387010933
10.333333333333334,0.7065676618562923,0.5706391353942661,0.5013500024053648
10.444444444444445,0.5765645007991824,0.46010794474399874,0.40415036245676506
10.555555555555555,0.4658051894166433,0.371814320921504,0.3279035155040162
10.666666666666666,0.37698554167069676,0.30296771292163316,0.2687769610891392
10.777777777777779,0.30753104468668235,0.2495770498139308,0.22287357912317152
10.88888888888889,0.2535561725266776,0.2080000842073353,0.18696966641997337
11.0,0.21145919594702334,0.17533617219054753,0.15859592240163023
